Apartment_id,host,Country,City,Address,num_guests,num_beds,num_bathrooms,Property_Type,amenities,house_rules,price
1,jlacey1@ebay.co.uk,Brazil,Visconde do Rio Branco,1337 Swallow Terrace,10,10,5,Luxury Apartment,Free Wifi/Parking/Washing Machine and Dryer,No Smoking,554
2,psly1b@umn.edu,Philippines,Burgos,43 Jenifer Point,9,9,4,Luxury Apartment,Free Wifi/Parking/Washing Machine and Dryer,No Smoking/No Pets,749
3,kleningb@ezinearticles.com,China,Dashiren,484 Crescent Oaks Park,3,3,1,Bungalow,Free Wifi/Parking/Gym/Pool/Washing Machine and Dryer,No Smoking/No Pets,144
4,sconkling14@miibeian.gov.cn,Greece,Goúvai,919 Browning Point,6,6,3,Luxury Apartment,Free Wifi/Parking/Gym/Pool/Washing Machine and Dryer,No Pets,619
5,pswiret@smugmug.com,Brazil,Auriflama,8 Mosinee Circle,4,4,2,Bungalow,Free Wifi/Parking/Washing Machine and Dryer,No Pets,150
6,rgianasi1d@comsenz.com,Philippines,Santiago,53 Waywood Point,7,8,3,Bungalow,Free Wifi/Parking/Washing Machine and Dryer,No Smoking/No Pets,175
7,bsorrill3@reference.com,Nigeria,Uyo,645 Canary Alley,2,3,1,Bungalow,Free Wifi/Washing Machine and Dryer,No Smoking,103
8,idavies1a@dagondesign.com,Philippines,Calomboyan,2513 Dayton Lane,5,5,2,Luxury Apartment,Free Wifi/Washing Machine and Dryer,No Smoking/No Pets,949
9,lcrevy4@state.tx.us,China,Gaojingzhuang,6 Burning Wood Crossing,6,7,3,Bungalow,Free Wifi/Parking/Gym/Pool/Washing Machine and Dryer,No Smoking/No Pets,131
10,kpignyv@photobucket.com,Nigeria,Runka,68518 Algoma Point,9,10,4,Bungalow,Free Wifi/Washing Machine and Dryer,No Smoking/No Pets,174
11,jrottery6@newyorker.com,Colombia,Guaitarilla,3147 Sullivan Junction,10,11,5,Luxury Apartment,Free Wifi/Parking/Gym/Pool/Washing Machine and Dryer,No Smoking,695
12,bhamonz@weebly.com,Indonesia,Sukamulia,2 Dwight Circle,10,10,5,Luxury Apartment,Free Wifi/Parking/Gym/Pool/Washing Machine and Dryer,No Smoking,794
13,ekibblewhites@npr.org,Morocco,Bzou,6868 Beilfuss Court,4,4,2,Bungalow,Free Wifi/Parking/Gym/Pool/Washing Machine and Dryer,No Pets,194
14,ljakubovics17@nymag.com,Japan,Komaki,0 Lake View Avenue,7,7,3,Bungalow,Free Wifi/Washing Machine and Dryer,No Smoking,123
15,ketherington12@apache.org,Poland,Haczów,5 Holy Cross Pass,6,6,3,Luxury Apartment,Free Wifi/Parking/Washing Machine and Dryer,No Smoking,765
16,ekibblewhites@npr.org,Kazakhstan,Kostanay,8863 Riverside Street,5,6,2,Bungalow,Free Wifi/Parking/Washing Machine and Dryer,No Smoking/No Pets,198
17,bhamonz@weebly.com,Azerbaijan,Xankandi,51 Riverside Place,5,6,2,Luxury Apartment,Free Wifi/Parking/Gym/Pool/Washing Machine and Dryer,No Smoking/No Pets,535
18,nfeechanp@wsj.com,Cuba,Güira de Melena,37993 Hagan Trail,9,9,4,Luxury Apartment,Free Wifi/Parking/Washing Machine and Dryer,No Smoking,555
19,rsplevin13@blogtalkradio.com,Indonesia,Adiwerna,9870 Victoria Crossing,9,9,4,Luxury Apartment,Free Wifi/Parking/Gym/Pool/Washing Machine and Dryer,No Smoking/No Pets,929
20,ketherington12@apache.org,China,Baimi,82024 Buena Vista Park,1,1,1,Apartment,Free Wifi/Washing Machine and Dryer,No Smoking/No Pets,117
21,ddesport2@cargocollective.com,Brazil,Dom Pedrito,5 Dryden Court,3,4,1,Bungalow,Free Wifi/Washing Machine and Dryer,No Smoking/No Pets,131
22,cpotten10@weebly.com,Philippines,San Alejandro,94314 Wayridge Lane,9,9,4,Luxury Apartment,Free Wifi/Parking/Washing Machine and Dryer,No Smoking/No Pets,569
23,cpotten10@weebly.com,Portugal,São Pedro,7812 Dennis Circle,6,7,3,Bungalow,Free Wifi/Parking/Gym/Pool/Washing Machine and Dryer,No Pets,121
24,jrottery6@newyorker.com,Russia,Kosikha,54 Bay Junction,1,2,1,Apartment,Free Wifi/Washing Machine and Dryer,No Smoking,145
25,cpotten10@weebly.com,Canada,Iqaluit,1421 Barby Terrace,5,5,2,Luxury Apartment,Free Wifi/Washing Machine and Dryer,No Smoking/No Pets,999
26,sburrilk@hc360.com,Greenland,Uummannaq,0 Old Gate Alley,10,10,5,Luxury Apartment,Free Wifi/Parking/Washing Machine and Dryer,No Smoking/No Pets,871
27,chengoedd@webnode.com,Slovenia,Bakovci,2 Fallview Circle,3,4,1,Apartment,Free Wifi/Washing Machine and Dryer,No Pets,92
28,cpotten10@weebly.com,Indonesia,Kakaek,57 Mitchell Point,5,6,2,Luxury Apartment,Free Wifi/Parking/Gym/Pool/Washing Machine and Dryer,No Smoking/No Pets,516
29,avigne16@fc2.com,Argentina,Garupá,72375 Truax Parkway,3,4,1,Luxury Apartment,Free Wifi/Washing Machine and Dryer,No Smoking,816
